Month,Price,3M Price,Stock
1/5/2025,"9,499.75","9,479.69","184,113"
1/4/2025,"9,192.13","9,219.40","209,021"
1/3/2025,"9,731.07","9,762.50","235,107"
1/2/2025,"9,329.25","9,393.73","256,653"
1/1/2025,"8,977.57","9,094.02","261,651"
1/12/2024,"8,919.53","9,036.00","270,928"
1/11/2024,"9,074.79","9,202.52","271,785"
1/10/2024,"9,539.24","9,680.72","287,728"
1/9/2024,"9,254.50","9,384.86","309,726"
1/8/2024,"8,963.71","9,085.76","298,340"
1/7/2024,"9,393.57","9,536.33","214,539"
1/6/2024,"9,641.60","9,777.20","144,969"
1/5/2024,"10,129.07","10,243.98","109,394"
1/4/2024,"9,482.43","9,596.07","119,761"
1/3/2024,"8,675.63","8,777.90","112,513"
1/2/2024,"8,310.74","8,409.40","131,904"
1/1/2024,"8,344.30","8,443.07","157,193"
1/12/2023,"8,394.11","8,484.66","174,247"
1/11/2023,"8,173.95","8,266.25","178,472"
1/10/2023,"7,939.66","8,015.20","179,488"
1/9/2023,"8,270.86","8,313.29","143,368"
1/8/2023,"8,351.77","8,392.50","88,376"
1/7/2023,"8,445.26","8,467.45","61,300"
1/6/2023,"8,386.23","8,392.86","87,876"
1/5/2023,"8,234.28","8,271.43","83,939"
1/4/2023,"8,814.00","8,822.03","58,283"
1/3/2023,"8,835.72","8,846.17","71,398"
1/2/2023,"8,955.20","8,981.05","65,944"
1/1/2023,"8,999.79","9,020.36","81,888"
1/12/2022,"8,367.23","8,397.45","84,804"
1/11/2022,"8,029.95","8,035.89","89,600"
1/10/2022,"7,621.21","7,549.31","137,107"
1/9/2022,"7,734.70","7,658.00","114,064"
1/8/2022,"7,960.98","7,954.20","126,592"
1/7/2022,"7,529.79","7,547.71","132,827"
1/6/2022,"9,033.13","9,035.93","121,468"
1/5/2022,"9,362.81","9,359.19","168,371"
1/4/2022,"10,183.13","10,194.63","118,741"
1/3/2022,"10,237.59","10,245.65","77,259"
1/2/2022,"9,941.35","9,895.20","76,775"
1/1/2022,"9,775.93","9,748.40","90,478"
1/12/2021,"9,550.31","9,524.67","84,544"
1/11/2021,"9,765.48","9,595.95","100,600"
1/10/2021,"9,778.50","9,635.64","181,564"
1/9/2021,"9,324.07","9,329.70","235,509"
1/8/2021,"9,357.19","9,371.67","242,971"
1/7/2021,"9,433.59","9,464.20","221,994"
1/6/2021,"9,612.43","9,637.98","154,206"
1/5/2021,"10,183.97","10,196.05","123,245"
1/4/2021,"9,335.55","9,324.13","157,300"
1/3/2021,"9,004.98","8,988.20","102,630"
1/2/2021,"8,460.25","8,439.78","75,339"
1/1/2021,"7,970.50","7,978.38","94,604"
1/12/2020,"7,755.24","7,771.50","134,469"
1/11/2020,"7,063.43","7,078.19","162,881"
1/10/2020,"6,702.77","6,716.30","169,103"
1/9/2020,"6,712.41","6,695.43","86,289"
1/8/2020,"6,496.70","6,485.85","109,053"
1/7/2020,"6,353.76","6,348.59","165,579"
1/6/2020,"5,742.39","5,761.89","237,270"
1/5/2020,"5,233.82","5,263.55","259,333"
1/4/2020,"5,048.25","5,072.48","250,223"
1/3/2020,"5,178.68","5,192.43","211,261"
1/2/2020,"5,686.45","5,705.43","176,033"
1/1/2020,"6,049.20","6,076.48","154,578"
1/12/2019,"6,062.43","6,088.20","172,906"
1/11/2019,"5,859.69","5,880.60","227,171"
1/10/2019,"5,742.89","5,772.50","272,061"
1/9/2019,"5,745.48","5,775.12","298,183"
1/8/2019,"5,707.98","5,733.79","304,842"
1/7/2019,"5,939.85","5,956.98","287,667"
1/6/2019,"5,868.43","5,888.08","232,438"
1/5/2019,"6,028.31","6,049.62","204,038"
1/4/2019,"6,445.10","6,455.50","193,469"
1/3/2019,"6,451.02","6,426.19","149,630"
1/2/2019,"6,278.20","6,274.73","142,336"
1/1/2019,"5,932.02","5,958.91","138,818"
1/12/2018,"6,094.21","6,100.24","126,275"
1/11/2018,"6,193.00","6,169.80","155,814"
1/10/2018,"6,215.89","6,206.93","165,573"
1/9/2018,"6,020.03","6,035.83","229,043"
1/8/2018,"6,039.75","6,066.95","257,964"
1/7/2018,"6,248.18","6,266.43","263,864"
1/6/2018,"6,954.79","6,960.88","302,627"
1/5/2018,"6,821.76","6,852.31","299,879"
1/4/2018,"6,838.55","6,879.03","358,606"
1/3/2018,"6,795.76","6,833.57","330,913"
1/2/2018,"7,001.80","7,044.45","324,908"
1/1/2018,"7,080.30","7,122.77","232,620"
1/12/2017,"6,801.16","6,839.03","195,645"
1/11/2017,"6,825.57","6,857.55","242,043"
1/10/2017,"6,797.39","6,834.05","286,882"
1/9/2017,"6,583.19","6,623.55","266,687"
1/8/2017,"6,478.18","6,507.68","271,516"
1/7/2017,"5,978.60","6,008.31","306,830"
1/6/2017,"5,699.48","5,725.07","272,139"
1/5/2017,"5,591.50","5,614.38","325,394"
1/4/2017,"5,697.67","5,728.00","265,794"
1/3/2017,"5,821.52","5,840.89","297,658"
1/2/2017,"5,941.55","5,952.70","236,580"
1/1/2017,"5,737.43","5,759.21","281,643"
1/12/2016,"5,666.25","5,676.03","285,213"
1/11/2016,"5,443.25","5,456.48","267,011"
1/10/2016,"4,732.14","4,751.12","347,471"
1/9/2016,"4,707.18","4,726.09","348,949"
1/8/2016,"4,758.20","4,772.45","225,034"
1/7/2016,"4,855.79","4,871.95","219,146"
1/6/2016,"4,630.64","4,638.09","191,155"
1/5/2016,"4,708.35","4,695.00","157,081"
1/4/2016,"4,851.12","4,837.00","146,874"
1/3/2016,"4,947.55","4,930.95","168,779"
1/2/2016,"4,595.48","4,592.90","217,494"
1/1/2016,"4,462.75","4,462.75","237,029"
1/12/2015,"4,629.00","4,631.45","234,832"
1/11/2015,"4,808.24","4,794.71","256,868"
1/10/2015,"5,222.61","5,212.27","293,816"
1/9/2015,"5,208.09","5,194.50","339,720"
1/8/2015,"5,088.93","5,090.45","354,830"
1/7/2015,"5,456.91","5,473.54","335,511"
1/6/2015,"5,833.61","5,849.18","315,145"
1/5/2015,"6,300.61","6,300.74","335,191"
1/4/2015,"6,028.48","6,019.75","335,831"
1/3/2015,"5,925.84","5,904.45","330,349"
1/2/2015,"5,702.08","5,687.75","287,036"
1/1/2015,"5,815.83","5,768.88","208,265"
1/12/2014,"6,422.95","6,369.50","168,604"
1/11/2014,"6,701.13","6,638.85","161,246"
1/10/2014,"6,739.20","6,688.04","155,435"
1/9/2014,"6,872.23","6,841.43","154,234"
1/8/2014,"7,000.55","6,984.65","144,454"
1/7/2014,"7,104.50","7,097.74","155,901"
1/6/2014,"6,806.10","6,777.98","162,694"
1/5/2014,"6,877.29","6,820.50","193,982"
1/4/2014,"6,670.83","6,665.35","246,916"
1/3/2014,"6,667.83","6,647.21","265,544"
1/2/2014,"7,152.15","7,103.60","295,554"
1/1/2014,"7,294.89","7,266.41","336,848"
