Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
29/7/2005,2420,1326,367,727,,,4840
5/8/2005,2463,1365,368,730,,,4926
12/8/2005,2515,1406,372,737,,,5030
19/8/2005,2575,1452,377,746,,,5150
26/8/2005,2633,1503,379,751,,,5266
2/9/2005,2669,1543,381,745,,,5338
9/9/2005,2758,1601,390,767,,,5516
16/9/2005,2832,1651,398,783,,,5664
23/9/2005,2885,1698,404,783,,,5770
30/9/2005,2929,1733,409,787,,,5858
7/10/2005,2987,1774,417,796,,,5974
14/10/2005,3062,1819,423,820,,,6124
21/10/2005,3139,1868,432,839,,,6278
28/10/2005,3168,1882,436,850,,,6336
4/11/2005,3229,1918,439,872,,,6458
11/11/2005,3282,1946,443,893,,,6564
18/11/2005,3274,1937,440,897,,,6548
25/11/2005,3225,1896,439,890,,,6450
2/12/2005,3166,1862,426,878,,,6332
9/12/2005,2964,1744,397,823,,,5928
16/12/2005,2802,1645,377,780,,,5604
23/12/2005,2640,1539,364,737,,,5280
30/12/2005,2641,1520,372,749,,,5282
6/1/2006,2621,1491,370,760,,,5242
13/1/2006,2575,1460,363,752,,,5150
20/1/2006,2494,1404,351,739,,,4988
27/1/2006,2406,1349,335,722,,,4812
3/2/2006,2368,1319,325,724,,,4736
10/2/2006,2266,1249,314,703,,,4532
17/2/2006,2143,1174,299,670,,,4286
24/2/2006,1972,1078,271,623,,,3944
3/3/2006,1887,1001,262,624,,,3774
10/3/2006,1832,951,252,629,,,3664
17/3/2006,1809,934,239,636,,,3618
24/3/2006,1705,861,229,615,,,3410
31/3/2006,1695,846,231,618,,,3390
7/4/2006,1714,855,233,626,,,3428
14/4/2006,1771,881,240,650,,,3542
21/4/2006,1851,930,247,674,,,3702
28/4/2006,1904,959,255,690,,,3808
5/5/2006,1989,1008,267,714,,,3978
12/5/2006,2080,1068,279,733,,,4160
19/5/2006,2163,1119,291,753,,,4326
26/5/2006,2243,1169,306,768,,,4486
2/6/2006,2320,1213,321,786,,,4640
9/6/2006,2397,1268,334,795,,,4794
16/6/2006,2476,1317,347,812,,,4952
23/6/2006,2542,1359,356,827,,,5084
30/6/2006,2615,1409,362,844,,,5230
7/7/2006,2704,1464,376,864,,,5408
14/7/2006,2763,1509,384,870,,,5526
21/7/2006,2756,1525,381,850,,,5512
28/7/2006,2775,1555,373,847,,,5550
4/8/2006,2763,1554,380,829,,,5526
11/8/2006,2800,1591,384,825,,,5600
18/8/2006,2857,1639,391,827,,,5714
25/8/2006,2905,1673,398,834,,,5810
1/9/2006,2976,1716,407,853,,,5952
8/9/2006,3084,1781,417,886,,,6168
15/9/2006,3177,1835,427,915,,,6354
22/9/2006,3254,1874,438,942,,,6508
29/9/2006,3327,1914,448,965,,,6654
6/10/2006,3389,1951,459,979,,,6778
13/10/2006,3442,1981,464,997,,,6884
20/10/2006,3461,1990,467,1004,,,6922
27/10/2006,3452,1976,468,1008,,,6904
3/11/2006,3445,1966,469,1010,,,6890
10/11/2006,3450,1962,473,1015,,,6900
17/11/2006,3449,1964,470,1015,,,6898
24/11/2006,3417,1936,471,1010,,,6834
1/12/2006,3406,1946,450,1010,,,6812
8/12/2006,3238,1853,430,955,,,6476
15/12/2006,3167,1801,425,941,,,6334
22/12/2006,3121,1773,401,947,,,6242
29/12/2006,3074,1740,392,942,101,841,7090
5/1/2007,3025,1712,380,933,109,823,6982
12/1/2007,2936,1660,363,913,107,806,6785
19/1/2007,2757,1585,320,852,96,755,6365
26/1/2007,2571,1465,299,807,91,716,5949
2/2/2007,2347,1326,277,744,78,666,5438
9/2/2007,2088,1147,265,676,63,613,4852
16/2/2007,1865,996,253,616,52,564,4346
23/2/2007,1733,898,243,592,54,538,4058
2/3/2007,1631,820,225,586,59,527,3848
9/3/2007,1516,728,224,564,58,506,3596
16/3/2007,1533,718,231,584,64,519,3649
23/3/2007,1511,677,237,597,70,528,3620
30/3/2007,1569,702,238,629,78,550,3766
6/4/2007,1592,706,244,642,81,560,3825
13/4/2007,1546,663,247,636,80,556,3728
20/4/2007,1564,664,253,647,80,568,3776
27/4/2007,1651,716,263,672,83,590,3975
4/5/2007,1747,777,275,695,85,610,4189
11/5/2007,1842,838,287,717,88,629,4401
18/5/2007,1946,905,301,740,92,648,4632
25/5/2007,2053,970,315,768,97,670,4873
1/6/2007,2163,1036,331,796,100,696,5122
8/6/2007,2255,1097,342,816,101,714,5325
15/6/2007,2344,1157,355,832,102,730,5520
22/6/2007,2443,1224,366,853,102,751,5739
29/6/2007,2521,1278,376,867,102,765,5909
6/7/2007,2627,1348,383,896,105,791,6150
13/7/2007,2692,1396,393,903,104,799,6287
20/7/2007,2763,1455,396,912,106,806,6438
27/7/2007,2840,1511,401,928,109,818,6607
3/8/2007,2882,1544,406,932,109,823,6696
10/8/2007,2903,1573,411,919,98,821,6725
17/8/2007,2926,1613,409,904,92,812,6756
24/8/2007,2969,1657,410,902,91,811,6840
31/8/2007,3005,1696,406,903,92,811,6913
7/9/2007,3069,1746,408,915,93,822,7053
14/9/2007,3132,1787,414,931,84,847,7195
21/9/2007,3206,1831,424,951,89,862,7363
28/9/2007,3263,1864,434,965,98,868,7492
5/10/2007,3336,1907,441,988,101,887,7660
12/10/2007,3375,1932,446,997,101,896,7747
19/10/2007,3443,1970,453,1020,105,915,7906
26/10/2007,3509,2004,459,1046,114,932,8064
2/11/2007,3545,2017,465,1063,119,945,8154
9/11/2007,3536,2002,471,1063,119,945,8136
16/11/2007,3540,1991,478,1071,119,952,8151
23/11/2007,3528,1977,477,1074,120,955,8131
30/11/2007,3440,1932,463,1045,112,932,7924
7/12/2007,3294,1831,453,1010,104,905,7597
14/12/2007,3173,1757,431,985,104,881,7331
21/12/2007,3008,1657,413,938,99,840,6955
28/12/2007,2921,1604,395,922,103,819,6764
4/1/2008,2750,1511,375,864,91,773,6364
11/1/2008,2691,1482,351,858,99,758,6239
18/1/2008,2536,1402,325,809,93,716,5881
25/1/2008,2262,1257,285,720,70,649,5243
1/2/2008,2062,1138,254,670,67,603,4794
8/2/2008,1942,1072,227,643,72,571,4527
15/2/2008,1770,952,212,606,72,534,4146
22/2/2008,1619,852,196,571,71,500,3809
29/2/2008,1484,760,189,535,69,466,3503
7/3/2008,1398,706,180,512,68,444,3308
14/3/2008,1313,640,183,490,66,424,3116
21/3/2008,1277,607,176,494,71,423,3048
28/3/2008,1248,575,175,498,74,424,2994
4/4/2008,1234,563,173,498,74,424,2966
11/4/2008,1261,582,176,503,75,428,3025
18/4/2008,1285,598,181,506,77,430,3077
25/4/2008,1371,652,188,531,83,448,3273
2/5/2008,1436,690,197,549,86,463,3421
9/5/2008,1529,743,210,576,92,485,3635
16/5/2008,1614,797,222,595,94,501,3823
23/5/2008,1701,845,234,622,96,528,4026
30/5/2008,1806,905,251,650,97,553,4262
6/6/2008,1886,959,267,660,97,562,4431
13/6/2008,1943,997,279,667,97,569,4552
20/6/2008,2033,1059,289,685,102,583,4751
27/6/2008,2118,1116,299,703,107,596,4939
4/7/2008,2208,1177,314,717,109,609,5134
11/7/2008,2312,1245,325,742,116,627,5367
18/7/2008,2396,1308,336,752,115,636,5543
25/7/2008,2461,1363,346,752,111,641,5674
1/8/2008,2517,1418,354,745,106,639,5779
8/8/2008,2567,1473,358,736,101,635,5870
15/8/2008,2655,1540,363,752,104,647,6061
22/8/2008,2757,1609,371,777,108,669,6291
29/8/2008,2847,1676,378,793,109,684,6487
5/9/2008,2905,1723,387,795,101,694,6605
12/9/2008,2972,1771,399,802,97,705,6746
19/9/2008,3023,1804,411,808,86,722,6854
26/9/2008,3110,1855,423,832,88,744,7052
3/10/2008,3198,1899,432,867,98,768,7262
10/10/2008,3277,1945,440,892,102,790,7446
17/10/2008,3347,1985,444,918,107,811,7612
24/10/2008,3393,2004,451,938,113,825,7724
31/10/2008,3412,2010,463,939,110,829,7763
7/11/2008,3472,2041,468,963,117,846,7907
14/11/2008,3488,2041,473,974,123,852,7951
21/11/2008,3422,1990,467,965,121,844,7809
28/11/2008,3358,1929,466,963,120,843,7679
5/12/2008,3291,1871,465,955,120,834,7536
12/12/2008,3167,1780,454,933,114,819,7267
19/12/2008,3020,1689,422,909,110,799,6949
26/12/2008,2877,1589,400,888,108,780,6642
2/1/2009,2830,1540,388,902,118,784,6562
9/1/2009,2736,1468,369,899,121,778,6371
16/1/2009,2560,1343,361,856,110,747,5977
23/1/2009,2374,1212,354,808,86,722,5556
30/1/2009,2179,1087,334,758,78,680,5116
6/2/2009,2020,972,327,721,65,656,4761
13/2/2009,1996,947,312,737,70,667,4729
20/2/2009,1895,876,296,723,71,652,4513
27/2/2009,1793,793,292,708,75,632,4293
6/3/2009,1681,703,288,690,73,618,4053
13/3/2009,1651,677,276,698,77,622,4001
20/3/2009,1654,664,281,709,83,627,4018
27/3/2009,1654,641,282,731,91,640,4039
3/4/2009,1674,647,283,744,99,645,4092
10/4/2009,1695,651,288,756,105,650,4145
17/4/2009,1741,668,294,779,114,664,4260
24/4/2009,1823,710,308,805,122,683,4451
1/5/2009,1911,768,319,824,126,698,4646
8/5/2009,2005,827,332,846,131,715,4856
15/5/2009,2107,892,345,870,135,735,5084
22/5/2009,2213,953,360,900,147,754,5327
29/5/2009,2337,1024,379,934,156,778,5608
5/6/2009,2443,1091,395,957,160,797,5843
12/6/2009,2557,1164,408,985,169,816,6099
19/6/2009,2651,1234,420,997,168,828,6298
26/6/2009,2721,1289,431,1001,164,836,6442
3/7/2009,2796,1349,434,1013,165,848,6605
10/7/2009,2886,1411,443,1032,172,861,6805
17/7/2009,2952,1467,442,1043,171,871,6946
24/7/2009,3023,1523,441,1059,175,884,7105
31/7/2009,3089,1579,442,1068,175,893,7246
7/8/2009,3152,1635,444,1073,175,898,7377
14/8/2009,3204,1681,449,1074,172,902,7482
21/8/2009,3258,1724,455,1079,170,909,7595
28/8/2009,3323,1776,461,1086,169,917,7732
4/9/2009,3392,1831,462,1099,174,926,7884
11/9/2009,3458,1876,472,1110,174,936,8026
18/9/2009,3525,1917,482,1126,179,947,8176
25/9/2009,3589,1955,489,1145,183,962,8323
2/10/2009,3658,1992,497,1169,191,978,8485
9/10/2009,3716,2030,504,1182,195,988,8615
16/10/2009,3734,2041,506,1187,195,992,8655
23/10/2009,3759,2058,513,1188,194,994,8706
30/10/2009,3788,2085,514,1189,194,995,8765
6/11/2009,3813,2093,521,1199,197,1002,8825
13/11/2009,3833,2101,524,1208,201,1007,8874
20/11/2009,3835,2099,525,1211,203,1008,8881
27/11/2009,3837,2092,526,1219,207,1011,8892
4/12/2009,3773,2061,517,1195,202,993,8741
11/12/2009,3566,1968,478,1120,176,944,8252
18/12/2009,3400,1869,464,1067,162,905,7867
25/12/2009,3276,1779,453,1044,162,882,7596
1/1/2010,3118,1678,434,1006,159,846,7241
8/1/2010,2852,1532,414,906,123,782,6609
15/1/2010,2607,1401,396,810,91,719,6024
22/1/2010,2521,1334,380,807,102,705,5849
29/1/2010,2406,1251,359,796,108,688,5608
5/2/2010,2215,1135,344,736,95,641,5166
12/2/2010,2025,1030,322,673,85,589,4724
19/2/2010,1853,935,311,607,71,536,4313
26/2/2010,1737,861,296,580,70,510,4054
5/3/2010,1626,789,289,548,63,485,3800
12/3/2010,1615,770,283,562,71,491,3792
19/3/2010,1626,760,285,581,80,501,3833
26/3/2010,1638,753,289,596,89,507,3872
2/4/2010,1669,750,292,627,101,526,3965
9/4/2010,1756,795,296,665,112,552,4176
16/4/2010,1829,829,304,696,120,576,4354
23/4/2010,1912,867,318,727,126,601,4551
30/4/2010,1995,905,330,760,133,627,4750
7/5/2010,2089,958,344,787,138,650,4966
14/5/2010,2165,992,359,814,144,670,5144
21/5/2010,2269,1047,377,845,149,696,5383
28/5/2010,2357,1095,394,868,151,717,5582
4/6/2010,2456,1148,412,896,158,738,5808
11/6/2010,2543,1200,424,919,160,757,6003
18/6/2010,2624,1251,438,935,161,773,6182
25/6/2010,2684,1293,448,943,158,785,6311
2/7/2010,2762,1341,459,962,160,802,6486
9/7/2010,2840,1384,470,986,168,819,6667
16/7/2010,2891,1425,474,992,163,828,6773
23/7/2010,2919,1459,473,987,157,830,6825
30/7/2010,2948,1493,476,979,148,831,6875
6/8/2010,2985,1536,479,970,144,827,6941
13/8/2010,3012,1576,482,954,136,818,6978
20/8/2010,3052,1624,479,949,131,819,7054
27/8/2010,3106,1677,473,956,133,823,7168
3/9/2010,3164,1712,478,974,136,837,7301
10/9/2010,3267,1766,491,1010,150,861,7545
17/9/2010,3340,1819,492,1029,150,880,7710
24/9/2010,3414,1867,497,1050,153,896,7877
1/10/2010,3499,1920,497,1082,162,921,8081
8/10/2010,3590,1963,503,1124,168,956,8304
15/10/2010,3683,2014,508,1161,182,979,8527
22/10/2010,3754,2048,514,1192,189,1002,8699
29/10/2010,3821,2087,516,1218,193,1025,8860
5/11/2010,3840,2087,520,1233,199,1035,8914
12/11/2010,3835,2079,518,1238,207,1029,8906
19/11/2010,3828,2069,519,1240,211,1028,8895
26/11/2010,3805,2053,498,1254,218,1036,8864
3/12/2010,3716,2002,477,1237,215,1022,8669
10/12/2010,3552,1891,467,1194,205,989,8298
17/12/2010,3368,1774,456,1138,186,953,7875
24/12/2010,3232,1671,444,1117,182,935,7581
31/12/2010,3097,1590,428,1079,175,904,7273
7/1/2011,2959,1510,390,1059,183,875,6976
14/1/2011,2716,1384,364,968,158,809,6399
21/1/2011,2542,1280,350,912,153,758,5995
28/1/2011,2353,1165,332,856,142,714,5562
4/2/2011,2144,1055,300,789,123,666,5077
11/2/2011,1911,937,276,698,90,608,4520
18/2/2011,1830,880,263,687,90,597,4347
25/2/2011,1745,809,240,696,100,596,4186
4/3/2011,1674,748,223,703,106,597,4051
11/3/2011,1618,697,221,700,111,588,3935
18/3/2011,1612,675,222,715,121,594,3939
25/3/2011,1624,668,216,740,131,608,3987
1/4/2011,1579,616,221,742,138,603,3899
8/4/2011,1607,623,221,763,143,620,3977
15/4/2011,1654,652,222,780,143,637,4088
22/4/2011,1685,666,226,793,144,648,4162
29/4/2011,1757,707,233,817,149,667,4330
6/5/2011,1827,748,240,839,155,684,4493
13/5/2011,1919,804,251,864,161,703,4702
20/5/2011,2024,860,262,902,175,727,4950
27/5/2011,2107,911,276,920,177,744,5135
3/6/2011,2187,960,289,938,179,758,5311
10/6/2011,2256,1008,304,944,180,764,5456
17/6/2011,2354,1072,322,960,184,777,5669
24/6/2011,2432,1127,335,970,182,788,5834
1/7/2011,2527,1189,351,987,184,802,6040
8/7/2011,2611,1248,362,1001,185,815,6222
15/7/2011,2671,1298,378,995,176,819,6337
22/7/2011,2714,1338,389,987,167,820,6415
29/7/2011,2758,1380,396,982,160,822,6498
5/8/2011,2783,1418,404,961,151,811,6528
12/8/2011,2833,1466,414,953,142,811,6619
19/8/2011,2906,1524,422,960,143,818,6773
26/8/2011,2961,1578,426,957,139,818,6879
2/9/2011,3025,1636,430,959,139,820,7009
9/9/2011,3112,1695,436,981,144,836,7204
16/9/2011,3201,1753,445,1003,153,850,7405
23/9/2011,3312,1820,456,1036,166,870,7660
30/9/2011,3409,1881,468,1060,170,890,7878
7/10/2011,3521,1935,482,1104,188,916,8146
14/10/2011,3624,1993,491,1140,206,935,8389
21/10/2011,3716,2037,498,1181,226,955,8613
28/10/2011,3794,2069,505,1220,244,976,8808
4/11/2011,3831,2085,511,1235,253,982,8897
11/11/2011,3843,2091,510,1242,263,980,8929
18/11/2011,3852,2091,514,1247,268,980,8952
25/11/2011,3851,2074,516,1261,276,985,8963
2/12/2011,3831,2058,517,1256,281,975,8918
9/12/2011,3729,2008,493,1228,276,953,8687
16/12/2011,3629,1945,470,1214,274,939,8471
23/12/2011,3548,1892,451,1205,275,930,8301
30/12/2011,3472,1830,447,1195,279,916,8139
6/1/2012,3377,1754,444,1179,274,904,7932
13/1/2012,3290,1693,433,1164,276,888,7744
20/1/2012,3098,1571,406,1121,260,861,7317
27/1/2012,2966,1471,396,1099,254,846,7032
3/2/2012,2888,1412,388,1088,250,838,6864
10/2/2012,2761,1329,381,1051,240,811,6573
17/2/2012,2595,1232,370,993,217,776,6183
24/2/2012,2513,1174,365,974,214,760,6000
2/3/2012,2433,1114,352,967,216,751,5833
9/3/2012,2369,1059,345,965,223,743,5704
16/3/2012,2380,1049,346,985,232,752,5744
23/3/2012,2430,1073,344,1013,247,766,5873
30/3/2012,2472,1084,349,1039,260,780,5984
6/4/2012,2478,1090,353,1035,258,776,5990
13/4/2012,2501,1103,358,1040,259,782,6043
20/4/2012,2548,1145,362,1041,254,787,6137
27/4/2012,2576,1165,371,1040,249,791,6192
4/5/2012,2606,1189,379,1038,241,797,6250
11/5/2012,2667,1236,386,1045,238,807,6379
18/5/2012,2744,1281,399,1064,257,807,6552
25/5/2012,2815,1325,410,1080,261,819,6710
1/6/2012,2877,1363,423,1091,260,831,6845
8/6/2012,2944,1406,436,1102,261,841,6990
15/6/2012,3006,1443,447,1116,265,851,7128
22/6/2012,3063,1477,456,1130,267,862,7255
29/6/2012,3102,1512,471,1119,258,860,7322
6/7/2012,3135,1532,484,1119,251,868,7389
13/7/2012,3163,1555,488,1120,247,873,7446
20/7/2012,3189,1575,495,1119,242,877,7497
27/7/2012,3217,1605,499,1113,234,880,7548
3/8/2012,3241,1635,498,1108,226,881,7589
10/8/2012,3261,1664,493,1104,220,883,7625
17/8/2012,3308,1712,488,1108,218,890,7724
24/8/2012,3374,1759,491,1124,227,897,7872
31/8/2012,3402,1793,492,1117,221,897,7922
7/9/2012,3429,1831,494,1104,207,897,7962
14/9/2012,3496,1875,497,1124,217,907,8116
21/9/2012,3576,1921,502,1153,232,921,8305
28/9/2012,3653,1963,510,1180,245,935,8486
5/10/2012,3725,2005,513,1207,260,947,8657
12/10/2012,3776,2029,521,1226,271,955,8778
19/10/2012,3843,2057,532,1254,286,968,8940
26/10/2012,3908,2091,540,1277,300,978,9094
2/11/2012,3929,2096,548,1285,307,977,9142
9/11/2012,3911,2073,551,1287,310,977,9109
16/11/2012,3873,2054,544,1275,311,964,9021
23/11/2012,3877,2042,548,1287,317,970,9041
30/11/2012,3804,1986,545,1273,316,957,8881
7/12/2012,3806,1974,547,1285,320,966,8898
14/12/2012,3724,1925,538,1261,312,949,8709
21/12/2012,3652,1883,520,1249,310,939,8553
28/12/2012,3517,1799,505,1213,302,911,8247
4/1/2013,3316,1686,478,1152,283,870,7785
11/1/2013,3168,1600,455,1113,275,837,7448
18/1/2013,2996,1520,416,1060,260,800,7052
25/1/2013,2802,1391,398,1013,244,769,6617
1/2/2013,2684,1303,388,993,240,753,6361
8/2/2013,2527,1187,380,960,234,726,6014
15/2/2013,2400,1108,367,925,225,699,5724
22/2/2013,2229,999,355,875,208,667,5333
1/3/2013,2083,922,344,817,190,627,4983
8/3/2013,1938,830,339,769,175,594,4645
15/3/2013,1876,783,339,754,180,574,4506
22/3/2013,1781,710,334,737,178,558,4298
29/3/2013,1687,662,330,695,166,529,4069
5/4/2013,1673,646,337,690,168,522,4036
12/4/2013,1704,665,336,703,179,524,4111
19/4/2013,1734,686,334,714,187,526,4181
26/4/2013,1777,704,339,734,198,536,4288
3/5/2013,1865,756,344,765,212,553,4495
10/5/2013,1964,811,357,796,228,569,4725
17/5/2013,2053,857,368,828,239,589,4934
24/5/2013,2141,910,380,851,243,608,5133
31/5/2013,2252,968,396,888,254,634,5392
7/6/2013,2347,1025,409,913,259,654,5607
14/6/2013,2438,1085,420,933,261,673,5810
21/6/2013,2533,1143,433,957,263,694,6023
28/6/2013,2605,1191,443,971,265,706,6181
5/7/2013,2687,1244,445,998,274,724,6372
12/7/2013,2745,1281,451,1013,275,739,6504
19/7/2013,2786,1306,455,1025,274,751,6597
26/7/2013,2845,1350,461,1034,267,768,6725
2/8/2013,2941,1408,484,1049,265,784,6931
9/8/2013,3006,1459,494,1053,261,792,7065
16/8/2013,3063,1506,500,1057,258,799,7183
23/8/2013,3130,1555,502,1073,260,813,7333
30/8/2013,3188,1598,505,1085,261,824,7461
6/9/2013,3253,1647,507,1099,262,836,7604
13/9/2013,3299,1688,511,1100,259,841,7698
20/9/2013,3386,1742,519,1125,267,859,7898
27/9/2013,3487,1800,529,1158,278,879,8131
4/10/2013,3577,1851,538,1188,287,901,8342
11/10/2013,3654,1897,545,1212,294,918,8520
18/10/2013,3741,1947,549,1245,311,933,8726
25/10/2013,3779,1964,552,1263,318,945,8821
1/11/2013,3814,1974,555,1285,325,960,8913
8/11/2013,3834,1984,553,1297,332,965,8965
15/11/2013,3789,1953,552,1284,327,957,8862
22/11/2013,3776,1939,546,1291,331,960,8843
29/11/2013,3614,1861,530,1223,303,920,8451
6/12/2013,3533,1815,504,1214,309,905,8280
13/12/2013,3248,1683,450,1115,277,839,7612
20/12/2013,3071,1568,429,1074,263,811,7216
27/12/2013,2974,1501,412,1061,269,792,7009
3/1/2014,2817,1403,395,1019,259,759,6652
10/1/2014,2530,1254,364,912,211,701,5972
17/1/2014,2423,1187,349,887,213,674,5733
24/1/2014,2185,1063,327,795,178,617,5165
31/1/2014,1923,920,301,702,137,565,4548
7/2/2014,1693,814,259,620,109,510,4005
14/2/2014,1443,685,229,529,77,452,3415
21/2/2014,1348,607,217,524,96,428,3220
28/2/2014,1196,525,190,481,88,393,2873
7/3/2014,1001,430,169,402,54,348,2404
14/3/2014,953,395,167,391,62,329,2297
21/3/2014,896,356,164,376,65,311,2168
28/3/2014,822,310,160,352,60,293,1997
4/4/2014,826,305,160,361,68,293,2013
11/4/2014,850,311,168,371,76,295,2071
18/4/2014,899,328,178,393,89,304,2191
25/4/2014,981,362,191,428,104,324,2390
2/5/2014,1055,397,203,455,113,342,2565
9/5/2014,1160,457,219,484,126,358,2804
16/5/2014,1266,522,231,513,140,373,3045
23/5/2014,1380,586,250,544,152,391,3303
30/5/2014,1499,655,269,575,163,412,3573
6/6/2014,1606,720,282,604,172,433,3817
13/6/2014,1719,790,298,631,177,455,4070
20/6/2014,1829,858,315,656,185,472,4315
27/6/2014,1929,923,331,675,188,486,4532
4/7/2014,2022,979,345,698,194,505,4743
11/7/2014,2129,1044,358,727,201,525,4984
18/7/2014,2219,1100,369,750,207,543,5188
25/7/2014,2307,1157,381,769,210,559,5383
1/8/2014,2389,1219,387,783,212,570,5560
8/8/2014,2467,1277,398,792,213,580,5727
15/8/2014,2555,1342,407,806,214,592,5916
22/8/2014,2630,1403,416,811,210,601,6071
29/8/2014,2709,1462,426,821,211,610,6239
5/9/2014,2801,1522,438,841,216,624,6442
12/9/2014,2891,1580,445,866,222,644,6648
19/9/2014,2988,1646,445,897,234,664,6874
26/9/2014,3100,1714,453,933,248,685,7133
3/10/2014,3205,1776,464,965,260,705,7375
10/10/2014,3299,1825,474,1000,272,728,7598
17/10/2014,3393,1872,482,1039,285,754,7825
24/10/2014,3480,1913,490,1077,298,778,8036
31/10/2014,3571,1956,498,1117,314,803,8259
7/11/2014,3611,1964,502,1145,327,818,8367
14/11/2014,3594,1953,495,1146,329,817,8334
21/11/2014,3432,1864,477,1091,306,785,7955
28/11/2014,3410,1830,478,1102,314,788,7922
5/12/2014,3359,1780,470,1109,323,787,7828
12/12/2014,3295,1725,471,1099,325,774,7689
19/12/2014,3246,1689,461,1096,327,769,7588
26/12/2014,3220,1660,461,1099,330,768,7538
2/1/2015,3089,1595,428,1066,324,742,7244
9/1/2015,2853,1468,400,985,291,694,6691
16/1/2015,2637,1350,384,903,260,643,6177
23/1/2015,2543,1281,375,887,257,630,5973
30/1/2015,2428,1194,371,863,247,616,5719
6/2/2015,2268,1081,371,816,231,585,5352
13/2/2015,2157,984,375,798,222,576,5112
20/2/2015,1938,843,371,724,181,542,4599
27/2/2015,1710,722,355,633,136,496,4052
6/3/2015,1512,618,339,555,108,447,3579
13/3/2015,1467,581,338,548,108,440,3482
20/3/2015,1479,559,344,576,121,455,3534
27/3/2015,1461,522,348,591,132,459,3513
3/4/2015,1476,504,355,617,146,471,3569
10/4/2015,1539,519,353,667,171,495,3744
17/4/2015,1629,560,357,712,191,520,3969
24/4/2015,1710,597,361,752,209,543,4172
1/5/2015,1786,628,368,790,223,567,4362
8/5/2015,1897,687,376,834,243,591,4628
15/5/2015,1989,742,382,865,251,614,4843
22/5/2015,2101,806,395,900,261,638,5101
29/5/2015,2233,879,409,945,277,668,5411
5/6/2015,2344,941,422,981,291,690,5669
12/6/2015,2433,1000,430,1003,295,708,5869
19/6/2015,2508,1053,437,1018,295,722,6033
26/6/2015,2577,1109,441,1027,292,735,6181
3/7/2015,2668,1178,440,1050,297,753,6386
10/7/2015,2767,1235,450,1082,305,777,6616
17/7/2015,2828,1276,458,1094,304,790,6750
24/7/2015,2880,1318,464,1098,300,797,6857
31/7/2015,2912,1354,466,1092,292,800,6916
7/8/2015,2977,1407,471,1099,291,808,7053
14/8/2015,3030,1457,475,1098,286,812,7158
21/8/2015,3099,1510,479,1110,287,823,7308
28/8/2015,3193,1581,482,1130,290,840,7516
4/9/2015,3261,1630,487,1144,293,851,7666
11/9/2015,3334,1680,489,1165,298,867,7833
18/9/2015,3440,1742,496,1202,312,890,8082
25/9/2015,3538,1804,502,1232,321,911,8308
2/10/2015,3633,1861,510,1262,331,932,8529
9/10/2015,3733,1912,521,1300,346,954,8766
16/10/2015,3814,1961,524,1329,357,972,8957
23/10/2015,3877,1994,531,1352,366,986,9106
30/10/2015,3929,2026,535,1368,371,997,9226
6/11/2015,3978,2057,538,1383,373,1010,9339
